User_Query,Intent,University_Major,Min_Science_x,Min_Math_x,Min_Tech,Min_Eco,Min_Letters,Min_Foreign_Lang,Language,Code_Fil,Allowed_Wilayas,University_Name
What can I study in ARABE (P.E.P) -- POUR BACHELIERS ADRAR?,major_info,ARABE (P.E.P) -- POUR BACHELIERS ADRAR,13.0,13.26,0.0,0.0,0.0,0.0,en,,National,ADRAR
What can I study in ARABE (P.E.P) -- POUR BACHELIERS AIN-DEFLA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS AIN-DEFLA,13.29,13.98,0.0,0.0,0.0,0.0,en,,National,AIN-DEFLA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS AIN-TEMOUCHENT?,major_info,ARABE (P.E.P) -- POUR BACHELIERS AIN-TEMOUCHENT,13.03,13.03,0.0,0.0,0.0,0.0,en,,National,AIN-TEMOUCHENT
What can I study in ARABE (P.E.P) -- POUR BACHELIERS ALGER?,major_info,ARABE (P.E.P) -- POUR BACHELIERS ALGER,13.0,13.01,0.0,0.0,0.0,0.0,en,,National,ALGER
What can I study in ARABE (P.E.P) -- POUR BACHELIERS ANNABA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS ANNABA,13.0,13.07,0.0,0.0,0.0,0.0,en,,National,ANNABA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS B.B.ARRERIDJ?,major_info,ARABE (P.E.P) -- POUR BACHELIERS B.B.ARRERIDJ,13.41,14.08,0.0,0.0,0.0,0.0,en,,National,B.B.ARRERIDJ
What can I study in ARABE (P.E.P) -- POUR BACHELIERS BATNA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS BATNA,14.18,14.89,0.0,0.0,0.0,0.0,en,,National,BATNA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS BECHAR?,major_info,ARABE (P.E.P) -- POUR BACHELIERS BECHAR,13.02,13.14,0.0,0.0,0.0,0.0,en,,National,BECHAR
What can I study in ARABE (P.E.P) -- POUR BACHELIERS BEJAIA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS BEJAIA,13.08,13.62,0.0,0.0,0.0,0.0,en,,National,BEJAIA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS BENI ABBES?,major_info,ARABE (P.E.P) -- POUR BACHELIERS BENI ABBES,0.0,0.0,0.0,0.0,0.0,0.0,en,,National,BENI ABBES
What can I study in ARABE (P.E.P) -- POUR BACHELIERS BISKRA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS BISKRA,13.02,13.04,0.0,0.0,0.0,0.0,en,,National,BISKRA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS BLIDA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS BLIDA,13.02,13.01,0.0,0.0,0.0,0.0,en,,National,BLIDA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS BORDJ BADJI MOKHTAR?,major_info,ARABE (P.E.P) -- POUR BACHELIERS BORDJ BADJI MOKHTAR,0.0,0.0,0.0,0.0,0.0,0.0,en,,National,BORDJ BADJI MOKHTAR
What can I study in ARABE (P.E.P) -- POUR BACHELIERS BOUIRA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS BOUIRA,13.0,13.0,0.0,0.0,0.0,0.0,en,,National,BOUIRA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS BOUMERDES?,major_info,ARABE (P.E.P) -- POUR BACHELIERS BOUMERDES,13.02,13.03,0.0,0.0,0.0,0.0,en,,National,BOUMERDES
What can I study in ARABE (P.E.P) -- POUR BACHELIERS CHLEF?,major_info,ARABE (P.E.P) -- POUR BACHELIERS CHLEF,13.2,13.9,0.0,0.0,0.0,0.0,en,,National,CHLEF
What can I study in ARABE (P.E.P) -- POUR BACHELIERS CONSTANTINE?,major_info,ARABE (P.E.P) -- POUR BACHELIERS CONSTANTINE,14.14,15.66,0.0,0.0,0.0,0.0,en,,National,CONSTANTINE
What can I study in ARABE (P.E.P) -- POUR BACHELIERS DJANET?,major_info,ARABE (P.E.P) -- POUR BACHELIERS DJANET,0.0,0.0,0.0,0.0,0.0,0.0,en,,National,DJANET
What can I study in ARABE (P.E.P) -- POUR BACHELIERS DJELFA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS DJELFA,13.0,13.0,0.0,0.0,0.0,0.0,en,,National,DJELFA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS EL BAYADH?,major_info,ARABE (P.E.P) -- POUR BACHELIERS EL BAYADH,13.13,13.0,0.0,0.0,0.0,0.0,en,,National,EL BAYADH
What can I study in ARABE (P.E.P) -- POUR BACHELIERS EL MENIAA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS EL MENIAA,13.05,14.73,0.0,0.0,0.0,0.0,en,,National,EL MENIAA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS EL MGHAIER?,major_info,ARABE (P.E.P) -- POUR BACHELIERS EL MGHAIER,13.07,13.19,0.0,0.0,0.0,0.0,en,,National,EL MGHAIER
What can I study in ARABE (P.E.P) -- POUR BACHELIERS EL OUED?,major_info,ARABE (P.E.P) -- POUR BACHELIERS EL OUED,13.0,13.02,0.0,0.0,0.0,0.0,en,,National,EL OUED
What can I study in ARABE (P.E.P) -- POUR BACHELIERS ELTARF?,major_info,ARABE (P.E.P) -- POUR BACHELIERS ELTARF,13.01,13.39,0.0,0.0,0.0,0.0,en,,National,ELTARF
What can I study in ARABE (P.E.P) -- POUR BACHELIERS GHARDAIA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS GHARDAIA,13.02,13.08,0.0,0.0,0.0,0.0,en,,National,GHARDAIA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS GUELMA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS GUELMA,13.59,14.27,0.0,0.0,0.0,0.0,en,,National,GUELMA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS ILLIZI?,major_info,ARABE (P.E.P) -- POUR BACHELIERS ILLIZI,0.0,0.0,0.0,0.0,0.0,0.0,en,,National,ILLIZI
What can I study in ARABE (P.E.P) -- POUR BACHELIERS IN GUEZZAM?,major_info,ARABE (P.E.P) -- POUR BACHELIERS IN GUEZZAM,0.0,0.0,0.0,0.0,0.0,0.0,en,,National,IN GUEZZAM
What can I study in ARABE (P.E.P) -- POUR BACHELIERS IN SALAH?,major_info,ARABE (P.E.P) -- POUR BACHELIERS IN SALAH,0.0,13.02,0.0,0.0,0.0,0.0,en,,National,IN SALAH
What can I study in ARABE (P.E.P) -- POUR BACHELIERS JIJEL?,major_info,ARABE (P.E.P) -- POUR BACHELIERS JIJEL,14.07,14.84,0.0,0.0,0.0,0.0,en,,National,JIJEL
What can I study in ARABE (P.E.P) -- POUR BACHELIERS KHENCHLA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS KHENCHLA,13.6,14.29,0.0,0.0,0.0,0.0,en,,National,KHENCHLA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS LAGHOUAT?,major_info,ARABE (P.E.P) -- POUR BACHELIERS LAGHOUAT,13.0,13.0,0.0,0.0,0.0,0.0,en,,National,LAGHOUAT
What can I study in ARABE (P.E.P) -- POUR BACHELIERS MASCARA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS MASCARA,13.08,13.8,0.0,0.0,0.0,0.0,en,,National,MASCARA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS MEDEA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS MEDEA,13.2,13.86,0.0,0.0,0.0,0.0,en,,National,MEDEA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS MILA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS MILA,14.19,14.9,0.0,0.0,0.0,0.0,en,,National,MILA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS MOSTAGANEM?,major_info,ARABE (P.E.P) -- POUR BACHELIERS MOSTAGANEM,13.03,13.02,0.0,0.0,0.0,0.0,en,,National,MOSTAGANEM
What can I study in ARABE (P.E.P) -- POUR BACHELIERS MSILA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS MSILA,13.41,14.07,0.0,0.0,0.0,0.0,en,,National,MSILA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS NAAMA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS NAAMA,13.05,13.14,0.0,0.0,0.0,0.0,en,,National,NAAMA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS ORAN?,major_info,ARABE (P.E.P) -- POUR BACHELIERS ORAN,13.01,13.01,0.0,0.0,0.0,0.0,en,,National,ORAN
What can I study in ARABE (P.E.P) -- POUR BACHELIERS OUARGLA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS OUARGLA,13.01,13.19,0.0,0.0,0.0,0.0,en,,National,OUARGLA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS OULED DJELLAL?,major_info,ARABE (P.E.P) -- POUR BACHELIERS OULED DJELLAL,13.03,13.06,0.0,0.0,0.0,0.0,en,,National,OULED DJELLAL
What can I study in ARABE (P.E.P) -- POUR BACHELIERS OUM-EL-BOUAGHI?,major_info,ARABE (P.E.P) -- POUR BACHELIERS OUM-EL-BOUAGHI,13.17,13.84,0.0,0.0,0.0,0.0,en,,National,OUM-EL-BOUAGHI
What can I study in ARABE (P.E.P) -- POUR BACHELIERS RELIZANE?,major_info,ARABE (P.E.P) -- POUR BACHELIERS RELIZANE,13.02,13.02,0.0,0.0,0.0,0.0,en,,National,RELIZANE
What can I study in ARABE (P.E.P) -- POUR BACHELIERS SAIDA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS SAIDA,13.0,13.02,0.0,0.0,0.0,0.0,en,,National,SAIDA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS SETIF?,major_info,ARABE (P.E.P) -- POUR BACHELIERS SETIF,13.01,13.64,0.0,0.0,0.0,0.0,en,,National,SETIF
What can I study in ARABE (P.E.P) -- POUR BACHELIERS SIDIBEL-ABBES?,major_info,ARABE (P.E.P) -- POUR BACHELIERS SIDIBEL-ABBES,13.03,13.26,0.0,0.0,0.0,0.0,en,,National,SIDIBEL-ABBES
What can I study in ARABE (P.E.P) -- POUR BACHELIERS SKIKDA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS SKIKDA,14.28,15.04,0.0,0.0,0.0,0.0,en,,National,SKIKDA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS SOUK-AHRAS?,major_info,ARABE (P.E.P) -- POUR BACHELIERS SOUK-AHRAS,13.4,14.05,0.0,0.0,0.0,0.0,en,,National,SOUK-AHRAS
What can I study in ARABE (P.E.P) -- POUR BACHELIERS TAMANRASSET?,major_info,ARABE (P.E.P) -- POUR BACHELIERS TAMANRASSET,13.79,15.82,0.0,0.0,0.0,0.0,en,,National,TAMANRASSET
What can I study in ARABE (P.E.P) -- POUR BACHELIERS TEBESSA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS TEBESSA,13.02,13.06,0.0,0.0,0.0,0.0,en,,National,TEBESSA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS TIARET?,major_info,ARABE (P.E.P) -- POUR BACHELIERS TIARET,13.35,14.03,0.0,0.0,0.0,0.0,en,,National,TIARET
What can I study in ARABE (P.E.P) -- POUR BACHELIERS TIMIMOUN?,major_info,ARABE (P.E.P) -- POUR BACHELIERS TIMIMOUN,13.07,13.35,0.0,0.0,0.0,0.0,en,,National,TIMIMOUN
What can I study in ARABE (P.E.P) -- POUR BACHELIERS TINDOUF?,major_info,ARABE (P.E.P) -- POUR BACHELIERS TINDOUF,0.0,14.79,0.0,0.0,0.0,0.0,en,,National,TINDOUF
What can I study in ARABE (P.E.P) -- POUR BACHELIERS TIPAZA?,major_info,ARABE (P.E.P) -- POUR BACHELIERS TIPAZA,13.0,13.02,0.0,0.0,0.0,0.0,en,,National,TIPAZA
What can I study in ARABE (P.E.P) -- POUR BACHELIERS TISSEMSILT?,major_info,ARABE (P.E.P) -- POUR BACHELIERS TISSEMSILT,13.37,14.06,0.0,0.0,0.0,0.0,en,,National,TISSEMSILT
What can I study in ARABE (P.E.P) -- POUR BACHELIERS TIZI-OUZOU?,major_info,ARABE (P.E.P) -- POUR BACHELIERS TIZI-OUZOU,13.08,13.2,0.0,0.0,0.0,0.0,en,,National,TIZI-OUZOU
What can I study in ARABE (P.E.P) -- POUR BACHELIERS TLEMCEN?,major_info,ARABE (P.E.P) -- POUR BACHELIERS TLEMCEN,13.0,13.02,0.0,0.0,0.0,0.0,en,,National,TLEMCEN
What can I study in ARABE (P.E.P) -- POUR BACHELIERS TOUGGOURT?,major_info,ARABE (P.E.P) -- POUR BACHELIERS TOUGGOURT,13.05,13.01,0.0,0.0,0.0,0.0,en,,National,TOUGGOURT
ساعدني نختار تخصص architecture,study,ARCHITECTURE,0.0,11.0,11.0,0.0,0.0,0.0,ar,N05IAL02,"02,12,13,21,28,32,40,41,National",المركز الجامعي المختص
ساعدني نختار تخصص architecture,study,ARCHITECTURE,0.0,11.0,11.0,0.0,0.0,0.0,ar,N05IAL01,"08,18,21,23,24,32,36,37,41,45,52,National",المركز الجامعي المختص
ساعدني نختار تخصص architecture,study,ARCHITECTURE + GENIE CIVIL,0.0,13.68,13.68,0.0,0.0,0.0,ar,,National,المركز الجامعي المختص
ساعدني نختار تخصص architecture,study,ARCHITECTURE + SCIENCES SOCIALES (SOCIOLOGIE),0.0,14.03,14.03,0.0,0.0,0.0,ar,,National,المركز الجامعي المختص
What can I study in ARTS?,major_info,ARTS,10.02,10.0,0.0,0.0,0.0,0.0,en,K00LAL01,"08,20,21,22,32,52,National",المركز الجامعي المختص
What can I study in ARTS?,major_info,ARTS,10.02,10.0,0.0,0.0,0.0,0.0,en,K00LAN01,"24,44,National",المركز الجامعي المختص
What can I study in ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS ADRAR?,major_info,ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS ADRAR,13.44,14.38,0.0,0.0,0.0,0.0,en,,National,ADRAR
What can I study in ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS AIN-DEFLA?,major_info,ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS AIN-DEFLA,15.16,0.0,0.0,0.0,0.0,0.0,en,,National,AIN-DEFLA
What can I study in ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS AIN-TEMOUCHENT?,major_info,ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS AIN-TEMOUCHENT,15.12,15.68,0.0,0.0,0.0,0.0,en,,National,AIN-TEMOUCHENT
What can I study in ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS ALGER?,major_info,ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS ALGER,15.04,0.0,0.0,0.0,0.0,0.0,en,,National,ALGER
What can I study in ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS ANNABA?,major_info,ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS ANNABA,14.08,15.09,0.0,0.0,0.0,0.0,en,,National,ANNABA
What can I study in ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS B.B.ARRERIDJ?,major_info,ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS B.B.ARRERIDJ,14.27,15.18,0.0,0.0,0.0,0.0,en,,National,B.B.ARRERIDJ
What can I study in ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS BATNA?,major_info,ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS BATNA,15.77,0.0,0.0,0.0,0.0,0.0,en,,National,BATNA
What can I study in ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS BECHAR?,major_info,ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS BECHAR,13.52,14.26,0.0,0.0,0.0,0.0,en,,National,BECHAR
What can I study in ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS BEJAIA?,major_info,ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS BEJAIA,14.1,0.0,0.0,0.0,0.0,0.0,en,,National,BEJAIA
What can I study in ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS BENI ABBES?,major_info,ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS BENI ABBES,12.15,12.69,0.0,0.0,0.0,0.0,en,,National,BENI ABBES
What can I study in ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS BISKRA?,major_info,ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS BISKRA,15.54,15.25,0.0,0.0,0.0,0.0,en,,National,BISKRA
What can I study in ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS BLIDA?,major_info,ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS BLIDA,14.23,0.0,0.0,0.0,0.0,0.0,en,,National,BLIDA
What can I study in ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS BORDJ BADJI MOKHTAR?,major_info,ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS BORDJ BADJI MOKHTAR,0.0,10.72,0.0,0.0,0.0,0.0,en,,National,BORDJ BADJI MOKHTAR
What can I study in ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS BOUIRA?,major_info,ASSISTANTS MEDICAUX DE SANTE PUBLIQUE -- POUR BACHELIERS BOUIRA,14.42,0.0,0.0,0.0,0.0,0.0,en,,National,BOUIRA
